Timestamp,Order_ID,Product_Category,Region,Assigned_Facility,Production_Line,Forecasted_Demand,Actual_Order_Qty,Workforce_Required,Workforce_Deployed,Schedule_Status,Operator_Override_Flag,Machine_Temperature_C,Machine_Vibration_Hz,Predicted_Time_To_Failure_Hrs,Machine_OEE_Pct,Raw_Material_Inventory_Units,Inventory_Threshold,Procurement_Action,Live_Supplier_Quote_USD,Grid_Pricing_Period,Energy_Consumed_kWh,Carbon_Emissions_kg,Carbon_Cost_Penalty_USD
2024-01-01 22:00:00,ORD-100011,Galaxy S Smartphone,Korea,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),5053,5053,150,150,On-Time,0,77.76023007897258,42.68957534931535,457.06188431775024,95.38326950671893,67847,20000,None,0.0,Off-Peak,2526,1010.4000000000001,0.0
2024-01-02 00:00:00,ORD-100012,Galaxy S Smartphone,Korea,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),5175,5175,150,150,On-Time,0,77.93433103347982,51.73546501635123,456.4399694964958,91.16692648261683,62672,20000,None,0.0,Off-Peak,2587,1034.8,0.0
2024-01-02 02:00:00,ORD-100013,Bespoke Refrigerator,Japan,Noida Plant (India) - Primary,Line 1 (High Speed),1006,1006,80,80,On-Time,0,76.45330551299958,48.42172902030505,331.3593156770726,94.91489949261432,98994,20000,None,0.0,Off-Peak,2515,1006.0,0.0
2024-01-02 04:00:00,ORD-100014,EcoBubble Washing Machine,Malaysia (SEA),Thai Nguyen (Vietnam) - Primary,Line 1 (High Speed),853,853,80,80,On-Time,1,76.21924822505194,53.37372561996504,456.7182171021351,97.21681517795683,99147,20000,None,0.0,Off-Peak,2132,852.8000000000001,0.0
2024-01-02 06:00:00,ORD-100015,Galaxy S Smartphone,Malaysia (SEA),Gumi (Korea) - Primary,Line 2 (Standard),4704,4704,150,150,On-Time,0,73.79451869433468,47.33082554623704,403.69784881044666,97.6850698932649,57968,20000,None,0.0,Off-Peak,2352,940.8000000000001,0.0
2024-01-02 08:00:00,ORD-100016,EcoBubble Washing Machine,India,Noida Plant (India) - Primary,Line 2 (Standard),912,912,80,80,On-Time,0,75.67218641373003,50.072827747118076,451.7229512505835,95.80300714065322,98235,20000,None,0.0,Off-Peak,2280,912.0,0.0
2024-01-02 10:00:00,ORD-100017,Galaxy S Smartphone,Middle East,Noida Plant (India) - Primary,Line 3 (Heavy Duty),5215,5215,150,150,On-Time,0,74.66816167989609,54.673432380131544,310.3397897732351,88.92041714008434,52753,20000,None,0.0,Off-Peak,2607,1042.8,0.0
2024-01-02 12:00:00,ORD-100018,Galaxy Tab,Malaysia (SEA),Gumi (Korea) - Primary,Line 3 (Heavy Duty),1056,1056,80,80,On-Time,0,74.01489378138552,55.55633075222794,379.61029747801695,94.2999385332798,97835,20000,None,0.0,Off-Peak,528,211.20000000000002,0.0
2024-01-02 14:00:00,ORD-100019,Galaxy A Smartphone,USA,Gumi (Korea) - Primary,Line 2 (Standard),5058,5058,150,150,On-Time,0,73.95780711546706,48.84335107340576,417.67818680616904,96.81659017522675,85349,20000,None,0.0,Peak,2529,1011.6,379.35
2024-01-02 16:00:00,ORD-100020,Galaxy S Smartphone,Japan,Gumi (Korea) - Primary,Line 1 (High Speed),5140,5140,150,150,On-Time,0,74.04567923354699,50.067208399875106,322.06322023366687,97.91168328102049,47613,20000,None,0.0,Peak,2570,1028.0,385.5
2024-01-02 18:00:00,ORD-100021,Galaxy A Smartphone,Africa,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),5198,5198,150,150,On-Time,0,78.53846065385464,47.48084545867418,407.224117977971,97.48376501922714,80151,20000,None,0.0,Peak,2599,1039.6000000000001,389.85
2024-01-02 20:00:00,ORD-100022,Neo QLED TV,Malaysia (SEA),Noida Plant (India) - Primary,Line 3 (Heavy Duty),695,695,80,80,On-Time,0,75.04514720887582,48.641487469244666,321.2570270962011,95.45537841318188,96147,20000,None,0.0,Peak,347,138.8,52.05
2024-01-02 22:00:00,ORD-100023,Galaxy S Smartphone,Korea,Foxconn (Taiwan) - Partner Overflow,Line 1 (High Speed),4795,4795,150,150,On-Time,0,76.95457306394765,49.530777763289635,390.79860120508226,96.66367434183904,42818,20000,None,0.0,Off-Peak,2397,958.8000000000001,0.0
2024-01-03 00:00:00,ORD-100024,EcoBubble Washing Machine,USA,Thai Nguyen (Vietnam) - Primary,Line 1 (High Speed),1279,1279,80,80,On-Time,0,76.89710755186753,51.151125936870756,367.4266452335069,97.67939135222686,96956,20000,None,0.0,Off-Peak,3197,1278.8000000000002,0.0
2024-01-03 02:00:00,ORD-100025,Galaxy S Smartphone,India,Queretaro (Mexico) - Partner,Line 2 (Standard),5256,5256,150,150,On-Time,0,75.02777194332204,51.06234318682573,487.5021937307238,90.07528502576005,37562,20000,None,0.0,Off-Peak,2628,1051.2,0.0
2024-01-03 04:00:00,ORD-100026,Galaxy Tab,Europe,Foxconn (Taiwan) - Partner Overflow,Line 1 (High Speed),860,860,80,80,On-Time,1,74.93279928779826,51.81580546939891,302.4270484769933,96.17061739232632,96975,20000,None,0.0,Off-Peak,430,172.0,0.0
2024-01-03 06:00:00,ORD-100027,Neo QLED TV,Australia/NZ,Noida Plant (India) - Primary,Line 3 (Heavy Duty),1082,1082,80,80,On-Time,0,74.65379405177349,48.958299179150295,348.66783950780894,92.0663526977527,95065,20000,None,0.0,Off-Peak,541,216.4,0.0
2024-01-03 08:00:00,ORD-100028,Galaxy A Smartphone,Middle East,Thai Nguyen (Vietnam) - Primary,Line 1 (High Speed),5074,5074,150,135,Delayed,0,76.90940832261494,55.03969291005896,354.66886420602697,97.25874628266916,75077,20000,None,0.0,Off-Peak,2537,1014.8000000000001,0.0
2024-01-03 10:00:00,ORD-100029,Neo QLED TV,Africa,Gumi (Korea) - Primary,Line 1 (High Speed),892,892,80,72,Delayed,0,76.49216367483596,49.52425190623123,377.6836353507101,95.35620935736948,94173,20000,None,0.0,Off-Peak,446,178.4,0.0
2024-01-03 12:00:00,ORD-100030,Galaxy S Smartphone,Korea,Queretaro (Mexico) - Partner,Line 1 (High Speed),5440,5440,150,150,On-Time,0,70.62667044175981,49.12440297641242,421.73530325635033,91.53386993469293,32122,20000,None,0.0,Off-Peak,2720,1088.0,0.0
2024-01-03 14:00:00,ORD-100031,Galaxy S Smartphone,Africa,Gumi (Korea) - Primary,Line 2 (Standard),5200,5200,150,135,Delayed,0,76.56407265439212,45.909903523665804,408.4900745503977,97.83263594023703,26922,20000,None,0.0,Peak,2600,1040.0,390.0
2024-01-03 16:00:00,ORD-100032,Galaxy S Smartphone,Japan,Noida Plant (India) - Primary,Line 2 (Standard),4721,4721,150,150,On-Time,0,77.25772394215309,51.311716898411866,379.0044546555513,96.69792671885202,22201,20000,None,0.0,Peak,2360,944.0,354.0
2024-01-03 18:00:00,ORD-100033,Galaxy S Smartphone,Malaysia (SEA),Gumi (Korea) - Primary,Line 1 (High Speed),4888,4888,150,135,Delayed,0,72.41877606195686,56.73039223724758,499.2276935881539,88.91766189939145,17313,20000,Auto-Ordered via API,5.41,Peak,2444,977.6,366.6
2024-01-03 20:00:00,ORD-100034,Galaxy Tab,Malaysia (SEA),Thai Nguyen (Vietnam) - Primary,Line 1 (High Speed),904,904,80,80,On-Time,0,71.87010877471832,50.204317201274826,304.93466393063215,92.14935237829745,96071,20000,None,0.0,Peak,452,180.8,67.8
2024-01-03 22:00:00,ORD-100035,Galaxy Tab,USA,Noida Plant (India) - Primary,Line 1 (High Speed),1206,1206,80,80,On-Time,0,75.8392562044014,42.26656368074582,369.40728675035075,97.85998488812776,94865,20000,None,0.0,Off-Peak,603,241.20000000000002,0.0
2024-01-04 00:00:00,ORD-100036,Galaxy S Smartphone,China,Foxconn (Taiwan) - Partner Overflow,Line 3 (Heavy Duty),5171,5171,150,150,On-Time,0,78.07658530954987,53.895191037727706,416.24826061242265,94.45792089390918,162142,20000,None,0.0,Off-Peak,2585,1034.0,0.0
2024-01-04 02:00:00,ORD-100037,Galaxy S Smartphone,Africa,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),5221,5221,150,135,Delayed,0,75.86048312348775,50.90893108403939,410.44493566245467,89.26619501262971,156921,20000,None,0.0,Off-Peak,2610,1044.0,0.0
2024-01-04 04:00:00,ORD-100038,Galaxy Tab,China,Gumi (Korea) - Primary,Line 1 (High Speed),1063,1063,80,80,On-Time,0,71.7050890416929,48.95563468683798,355.7905273501765,94.38857350055933,93802,20000,None,0.0,Off-Peak,531,212.4,0.0
2024-01-04 06:00:00,ORD-100039,Galaxy S Smartphone,Korea,Noida Plant (India) - Primary,Line 1 (High Speed),5217,5217,150,150,On-Time,0,71.94535810825215,51.55005265489993,365.57978508512974,94.57699599956975,151704,20000,None,0.0,Off-Peak,2608,1043.2,0.0
2024-01-04 08:00:00,ORD-100040,Galaxy A Smartphone,China,Queretaro (Mexico) - Partner,Line 1 (High Speed),5128,5128,150,135,Delayed,0,76.06104038821913,55.338849858958895,303.34652782915856,89.65228149530535,69949,20000,None,0.0,Off-Peak,2564,1025.6000000000001,0.0
2024-01-04 10:00:00,ORD-100041,Bespoke Refrigerator,Europe,Noida Plant (India) - Primary,Line 2 (Standard),988,988,80,72,Delayed,0,77.38872926453703,49.861770449278,364.78796691777706,92.47047264523827,98006,20000,None,0.0,Off-Peak,2470,988.0,0.0
2024-01-04 12:00:00,ORD-100042,Galaxy S Smartphone,Japan,Gumi (Korea) - Primary,Line 2 (Standard),4999,4999,150,150,On-Time,0,74.84917426346468,50.83784872704429,485.748125517896,93.68089655972658,146705,20000,None,0.0,Off-Peak,2499,999.6,0.0
2024-01-04 14:00:00,ORD-100043,Galaxy Tab,Malaysia (SEA),Noida Plant (India) - Primary,Line 3 (Heavy Duty),901,901,80,80,On-Time,0,74.20639425772552,47.26531781049984,393.89385289157076,97.28092213697832,92901,20000,None,0.0,Peak,450,180.0,67.5
2024-01-04 16:00:00,ORD-100044,Bespoke Refrigerator,India,Noida Plant (India) - Primary,Line 3 (Heavy Duty),973,973,80,80,On-Time,0,75.26365973941473,47.00191765528191,479.5852733590275,90.586355592144,97033,20000,None,0.0,Peak,2432,972.8000000000001,364.8
2024-01-04 18:00:00,ORD-100045,Galaxy A Smartphone,USA,Noida Plant (India) - Primary,Line 3 (Heavy Duty),4956,7434,150,150,Rerouted,0,73.07899505189513,51.25820376487769,345.3420774837482,97.65998618237884,62515,20000,None,0.0,Peak,3717,1486.8000000000002,557.55
2024-01-04 20:00:00,ORD-100046,Galaxy A Smartphone,Malaysia (SEA),Noida Plant (India) - Primary,Line 3 (Heavy Duty),5043,5043,150,150,On-Time,0,73.13681890336906,51.40009144288024,425.79703331782116,94.80282732547612,57472,20000,None,0.0,Peak,2521,1008.4000000000001,378.15
2024-01-04 22:00:00,ORD-100047,Bespoke Refrigerator,Middle East,Queretaro (Mexico) - Partner,Line 3 (Heavy Duty),806,806,80,80,On-Time,0,76.69129480648527,45.502486586430855,365.2813491925473,88.30971810288841,96227,20000,None,0.0,Off-Peak,2015,806.0,0.0
2024-01-05 00:00:00,ORD-100048,Galaxy Tab,Africa,Noida Plant (India) - Primary,Line 2 (Standard),820,820,80,80,On-Time,0,72.03036106041313,51.682386880760106,318.05445224640084,96.77821239401175,92081,20000,None,0.0,Off-Peak,410,164.0,0.0
2024-01-05 02:00:00,ORD-100049,Galaxy A Smartphone,Japan,Thai Nguyen (Vietnam) - Primary,Line 2 (Standard),5563,5563,150,120,Delayed,0,74.86995700737693,52.151652091649034,358.69289981257384,90.2335628008333,51909,20000,None,0.0,Off-Peak,2781,1112.4,0.0
2024-01-05 04:00:00,ORD-100050,Neo QLED TV,Europe,Noida Plant (India) - Primary,Line 3 (Heavy Duty),1036,1036,80,64,Delayed,0,79.68727118066084,52.959208243714414,356.2703186856148,95.87872441793202,93137,20000,None,0.0,Off-Peak,518,207.20000000000002,0.0
2024-01-05 06:00:00,ORD-100051,Galaxy S Smartphone,Malaysia (SEA),Noida Plant (India) - Primary,Line 3 (Heavy Duty),4711,4711,150,150,On-Time,0,75.1648156501518,54.76552641568936,485.90496362077795,97.29766718250028,141994,20000,None,0.0,Off-Peak,2355,942.0,0.0
2024-01-05 08:00:00,ORD-100052,Galaxy S Smartphone,USA,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),4602,4602,150,120,Delayed,0,78.05304904386246,52.4784400306962,336.16517208294863,96.69031867560992,137392,20000,None,0.0,Off-Peak,2301,920.4000000000001,0.0
2024-01-05 10:00:00,ORD-100053,Galaxy S Smartphone,USA,Gumi (Korea) - Primary,Line 3 (Heavy Duty),5356,5356,150,150,On-Time,0,73.36973866251631,46.14131660169439,405.62868738537605,92.28040190816901,132036,20000,None,0.0,Off-Peak,2678,1071.2,0.0
2024-01-05 12:00:00,ORD-100054,Bespoke Refrigerator,Africa,Noida Plant (India) - Primary,Line 1 (High Speed),776,776,80,80,On-Time,0,75.55125640801539,49.684180974649756,468.61281892444265,97.82959885718844,95451,20000,None,0.0,Off-Peak,1940,776.0,0.0
2024-01-05 14:00:00,ORD-100055,Bespoke Refrigerator,Malaysia (SEA),Thai Nguyen (Vietnam) - Primary,Line 2 (Standard),919,919,80,80,On-Time,0,77.76676697047483,47.30521335704872,428.70626514491016,96.52159700664701,94532,20000,None,0.0,Peak,2297,918.8000000000001,344.55
2024-01-05 16:00:00,ORD-100056,Galaxy S Smartphone,Malaysia (SEA),Noida Plant (India) - Primary,Line 2 (Standard),4909,4909,150,150,On-Time,0,71.92106109796283,51.451759989296306,476.8253078518288,93.60809650183494,127127,20000,None,0.0,Peak,2454,981.6,368.1
2024-01-05 18:00:00,ORD-100057,EcoBubble Washing Machine,Australia/NZ,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),1457,1457,80,80,On-Time,0,76.63658354470195,52.017112350216415,430.1887850204065,96.6807311199301,95499,20000,None,0.0,Peak,3642,1456.8000000000002,546.3
2024-01-05 20:00:00,ORD-100058,Neo QLED TV,Europe,Thai Nguyen (Vietnam) - Primary,Line 2 (Standard),1544,1544,80,80,On-Time,0,73.6655070331696,57.57767298884835,470.62601626313176,97.88910725988187,91593,20000,None,0.0,Peak,772,308.8,115.8
2024-01-05 22:00:00,ORD-100059,Galaxy S Smartphone,Europe,Noida Plant (India) - Primary,Line 3 (Heavy Duty),5204,5204,150,150,On-Time,0,73.89930662500227,47.0749102698744,468.19407535176316,93.1559956991897,121923,20000,None,0.0,Off-Peak,2602,1040.8,0.0
2024-01-06 00:00:00,ORD-100060,Galaxy S Smartphone,Europe,Foxconn (Taiwan) - Partner Overflow,Line 3 (Heavy Duty),5066,5066,150,150,On-Time,0,75.94259551627452,43.424075828341245,324.89849219579713,97.61642464720262,116857,20000,None,0.0,Off-Peak,2533,1013.2,0.0
2024-01-06 02:00:00,ORD-100061,Bespoke Refrigerator,USA,Thai Nguyen (Vietnam) - Primary,Line 2 (Standard),989,989,80,80,On-Time,0,73.8902562089405,49.67041442009765,438.6172186094194,88.39357367200695,93543,20000,None,0.0,Off-Peak,2472,988.8000000000001,0.0
2024-01-06 04:00:00,ORD-100062,Neo QLED TV,China,Foxconn (Taiwan) - Partner Overflow,Line 3 (Heavy Duty),1063,1063,80,80,On-Time,0,73.6637246474545,53.70529571246651,473.9932792452596,96.79346066092012,90530,20000,None,0.0,Off-Peak,531,212.4,0.0
2024-01-06 06:00:00,ORD-100063,Galaxy S Smartphone,USA,Thai Nguyen (Vietnam) - Primary,Line 1 (High Speed),4842,4842,150,150,On-Time,0,77.92181450055382,52.42409297839342,454.13307893153234,92.72349613476432,112015,20000,None,0.0,Off-Peak,2421,968.4000000000001,0.0
2024-01-06 08:00:00,ORD-100064,Galaxy S Smartphone,China,Foxconn (Taiwan) - Partner Overflow,Line 2 (Standard),5509,5509,150,150,On-Time,0,79.12643849889609,49.74318867731618,461.68222854030915,91.28043977930086,106506,20000,None,0.0,Off-Peak,2754,1101.6000000000001,0.0
2024-01-06 10:00:00,ORD-100065,Neo QLED TV,USA,Gumi (Korea) - Primary,Line 2 (Standard),753,753,80,80,On-Time,0,76.15916713662006,48.104077319483395,408.19636104073913,96.34288081054285,89777,20000,None,0.0,Off-Peak,376,150.4,0.0
2024-01-06 12:00:00,ORD-100066,Bespoke Refrigerator,Korea,Noida Plant (India) - Primary,Line 2 (Standard),1123,1123,80,80,On-Time,0,76.66525939030201,50.854281444342334,411.2354316487177,97.83986579290875,92420,20000,None,0.0,Off-Peak,2807,1122.8,0.0
2024-01-06 14:00:00,ORD-100067,Galaxy S Smartphone,Australia/NZ,Foxconn (Taiwan) - Partner Overflow,Line 2 (Standard),5054,5054,150,150,On-Time,0,73.60609275081796,48.94617495873478,425.0143388997403,88.31332806492446,101452,20000,None,0.0,Peak,2527,1010.8000000000001,379.05
2024-01-06 16:00:00,ORD-100068,Galaxy Tab,Japan,Noida Plant (India) - Primary,Line 3 (Heavy Duty),1073,1073,80,80,On-Time,0,73.2136287126625,46.67688082290035,372.4269261334888,89.31731088201339,91008,20000,None,0.0,Peak,536,214.4,80.4
2024-01-06 18:00:00,ORD-100069,Galaxy S Smartphone,Korea,Thai Nguyen (Vietnam) - Primary,Line 2 (Standard),5312,5312,150,150,On-Time,0,75.97628045756672,51.02679070440755,440.32940447497515,89.83271987267838,96140,20000,None,0.0,Peak,2656,1062.4,398.4
2024-01-06 20:00:00,ORD-100070,Galaxy Tab,Japan,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),865,865,80,80,On-Time,0,77.17887964209623,51.985161323170345,327.7258837946152,94.93079493970441,90143,20000,None,0.0,Peak,432,172.8,64.8
2024-01-06 22:00:00,ORD-100071,Neo QLED TV,Malaysia (SEA),Gumi (Korea) - Primary,Line 3 (Heavy Duty),966,1449,80,72,Rerouted,0,73.77983773016938,53.69220610951035,301.49353632701695,89.73848655283203,88328,20000,None,0.0,Off-Peak,724,289.6,0.0
2024-01-07 00:00:00,ORD-100072,Neo QLED TV,Middle East,Gumi (Korea) - Primary,Line 1 (High Speed),1223,1223,80,80,On-Time,0,71.91282379085094,47.36268405915557,442.5767823765912,93.91441102870355,87105,20000,None,0.0,Off-Peak,611,244.4,0.0
2024-01-07 02:00:00,ORD-100073,Neo QLED TV,India,Noida Plant (India) - Primary,Line 1 (High Speed),919,919,80,72,Delayed,0,74.15829853783515,52.727866325236846,406.3925115053043,94.51715473767787,86186,20000,None,0.0,Off-Peak,459,183.60000000000002,0.0
2024-01-07 04:00:00,ORD-100074,Galaxy S Smartphone,Malaysia (SEA),Noida Plant (India) - Primary,Line 3 (Heavy Duty),5079,5079,150,150,On-Time,0,75.6924213622623,50.2086870231344,461.8430918349827,95.88029451664784,91061,20000,None,0.0,Off-Peak,2539,1015.6,0.0
2024-01-07 06:00:00,ORD-100075,EcoBubble Washing Machine,India,Noida Plant (India) - Primary,Line 2 (Standard),1305,1305,80,80,On-Time,0,76.62035494014627,50.33392920720837,469.27081807585876,97.29693372412873,94194,20000,None,0.0,Off-Peak,3262,1304.8000000000002,0.0
2024-01-07 08:00:00,ORD-100076,Galaxy Tab,Europe,Foxconn (Taiwan) - Partner Overflow,Line 1 (High Speed),1361,1361,80,80,On-Time,0,76.89908895256218,51.92918654595235,341.4147931022752,90.70424082916321,88782,20000,None,0.0,Off-Peak,680,272.0,0.0
2024-01-07 10:00:00,ORD-100077,Galaxy S Smartphone,USA,Noida Plant (India) - Primary,Line 2 (Standard),5038,5038,150,150,On-Time,0,77.16852789879684,51.78226644614895,362.27546550942793,90.40884061147948,86023,20000,None,0.0,Off-Peak,2519,1007.6,0.0
2024-01-07 12:00:00,ORD-100078,EcoBubble Washing Machine,USA,Noida Plant (India) - Primary,Line 1 (High Speed),1307,1960,80,80,Rerouted,0,73.66742669858394,52.54691207414132,310.8297104972943,97.40065479845347,92234,20000,None,0.0,Off-Peak,4900,1960.0,0.0
2024-01-07 14:00:00,ORD-100079,Bespoke Refrigerator,Korea,Gumi (Korea) - Primary,Line 3 (Heavy Duty),1125,1125,80,80,On-Time,0,72.86009302212243,50.336832443601146,389.05244154632055,88.94972323811518,91295,20000,None,0.0,Peak,2812,1124.8,421.8
2024-01-07 16:00:00,ORD-100080,Galaxy S Smartphone,Korea,Gumi (Korea) - Primary,Line 2 (Standard),5139,5139,150,120,Delayed,0,72.26149650117694,52.197425996349175,389.0369416690018,95.01193587984007,80884,20000,None,0.0,Peak,2569,1027.6000000000001,385.35
2024-01-07 18:00:00,ORD-100081,Galaxy S Smartphone,USA,Gumi (Korea) - Primary,Line 3 (Heavy Duty),5307,5307,150,150,On-Time,0,71.88004059009646,51.24506452995528,424.18054876871213,91.74141297056259,75577,20000,None,0.0,Peak,2653,1061.2,397.95
2024-01-07 20:00:00,ORD-100082,Bespoke Refrigerator,Japan,Noida Plant (India) - Primary,Line 1 (High Speed),1473,1473,80,80,On-Time,0,75.5299133988097,49.529988996060084,440.77405319556226,90.09518242230004,89822,20000,None,0.0,Peak,3682,1472.8000000000002,552.3
2024-01-07 22:00:00,ORD-100083,Galaxy S Smartphone,Korea,Noida Plant (India) - Primary,Line 1 (High Speed),5175,5175,150,150,On-Time,0,74.79196368033972,49.48419457844196,347.3202830328461,96.67777731562269,70402,20000,None,0.0,Off-Peak,2587,1034.8,0.0
2024-01-08 00:00:00,ORD-100084,Galaxy S Smartphone,Malaysia (SEA),Gumi (Korea) - Primary,Line 3 (Heavy Duty),5337,5337,150,150,On-Time,0,75.79088030414408,47.2956815744836,419.2502451200437,97.14763911331724,65065,20000,None,0.0,Off-Peak,2668,1067.2,0.0
2024-01-08 02:00:00,ORD-100085,Neo QLED TV,Australia/NZ,Thai Nguyen (Vietnam) - Primary,Line 2 (Standard),885,885,80,80,On-Time,0,72.91417469652035,47.6516565832336,304.21791611244856,95.93003508468885,85301,20000,None,0.0,Off-Peak,442,176.8,0.0
2024-01-08 04:00:00,ORD-100086,Galaxy A Smartphone,Middle East,Noida Plant (India) - Primary,Line 1 (High Speed),5271,5271,150,150,On-Time,0,74.67011344631136,48.780508452425565,475.685513255425,88.13514864510532,46638,20000,None,0.0,Off-Peak,2635,1054.0,0.0
2024-01-08 06:00:00,ORD-100087,Neo QLED TV,USA,Foxconn (Taiwan) - Partner Overflow,Line 1 (High Speed),741,741,80,80,On-Time,0,74.75355160879067,47.9011471374918,408.16299129335226,92.14970486782508,84560,20000,None,0.0,Off-Peak,370,148.0,0.0
2024-01-08 08:00:00,ORD-100088,EcoBubble Washing Machine,Europe,Gumi (Korea) - Primary,Line 3 (Heavy Duty),905,905,80,80,On-Time,0,71.72834155960092,53.14149758759274,444.85840618333145,97.22997059946968,91329,20000,None,0.0,Off-Peak,2262,904.8000000000001,0.0
2024-01-08 10:00:00,ORD-100089,Galaxy Tab,Middle East,Gumi (Korea) - Primary,Line 1 (High Speed),944,944,80,72,Delayed,0,71.95364603992452,43.013056390807314,460.1442308506114,95.8491448667705,87838,20000,None,0.0,Off-Peak,472,188.8,0.0
2024-01-08 12:00:00,ORD-100090,Galaxy Tab,Europe,Gumi (Korea) - Primary,Line 1 (High Speed),1230,1230,80,80,On-Time,0,77.46365293033202,51.35772953813344,429.5795198163647,88.3704059707041,86608,20000,None,0.0,Off-Peak,615,246.0,0.0
2024-01-08 14:00:00,ORD-100091,Galaxy S Smartphone,Middle East,Noida Plant (India) - Primary,Line 1 (High Speed),5271,7906,150,150,Rerouted,0,75.9364309557235,44.24220203858574,342.2227853660922,93.78122161187818,57159,20000,None,0.0,Peak,3953,1581.2,592.95
2024-01-08 16:00:00,ORD-100092,Galaxy Tab,Japan,Thai Nguyen (Vietnam) - Primary,Line 1 (High Speed),1037,1037,80,80,On-Time,0,77.60609824439064,48.836823401171145,488.12535869022776,95.27244139260675,85571,20000,None,0.0,Peak,518,207.20000000000002,77.7
2024-01-08 18:00:00,ORD-100093,Neo QLED TV,Japan,Noida Plant (India) - Primary,Line 1 (High Speed),1258,1258,80,80,On-Time,0,74.87516420247772,51.47467476865709,361.9624814657716,93.54270591652549,83302,20000,None,0.0,Peak,629,251.60000000000002,94.35
